id,givenName,familyName,middleName,unaccentedGivenName,unaccentedFamilyName,unaccentedMiddleName,nickName,honorificPrefix,honorificSuffix,honorificTitle,birthYear,deathYear,congresses
A000126,Henry,Allen,Justin,Henry,Allen,Justin,,,,,1868,1950,"[{""position"":""Senator"",""congressNumber"":71,""stateName"":""KS"",""parties"":[""Republican""]}]"
A000127,James,Allen,Browning,James,Allen,Browning,,,,,1912,1978,"[{""position"":""Senator"",""congressNumber"":91,""stateName"":""AL"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":92,""stateName"":""AL"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":93,""stateName"":""AL"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":94,""stateName"":""AL"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":95,""stateName"":""AL"",""parties"":[""Democrat""]}]"
A000130,John,Allen,Beard,John,Allen,Beard,,Mr.,,,1845,1903,"[{""position"":""Delegate"",""congressNumber"":51,""stateName"":""WA"",""parties"":[""Republican""],""electionDate"":""1888"",""electionCirca"":true},{""position"":""Senator"",""congressNumber"":51,""stateName"":""WA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":52,""stateName"":""WA"",""parties"":[""Republican""]}]"
A000139,Maryon,Allen,Pittman,Maryon,Allen,Pittman,,,,,1925,2018,"[{""position"":""Senator"",""congressNumber"":95,""stateName"":""AL"",""parties"":[""Democrat""]}]"
A000141,Philip,Allen,,Philip,Allen,,,,,,1785,1865,"[{""position"":""Senator"",""congressNumber"":33,""stateName"":""RI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":34,""stateName"":""RI"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":35,""stateName"":""RI"",""parties"":[""Democrat""]}]"
A000153,William,Allen,Vincent,William,Allen,Vincent,,,,,1847,1924,"[{""position"":""Senator"",""congressNumber"":53,""stateName"":""NE"",""parties"":[""Populist""]},{""position"":""Senator"",""congressNumber"":54,""stateName"":""NE"",""parties"":[""Populist""]},{""position"":""Senator"",""congressNumber"":55,""stateName"":""NE"",""parties"":[""Populist""]},{""position"":""Senator"",""congressNumber"":56,""stateName"":""NE"",""parties"":[""Populist""]},{""position"":""Senator"",""congressNumber"":57,""stateName"":""NE"",""parties"":[""Populist""]}]"
A000150,William,Allen,,William,Allen,,,Mr.,,,1803,1879,"[{""position"":""Representative"",""congressNumber"":23,""stateName"":""OH"",""parties"":[""Jacksonian""],""electionDate"":""1832-10-09"",""electionCirca"":false},{""position"":""Senator"",""congressNumber"":25,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":26,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":27,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":28,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":29,""stateName"":""OH"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":30,""stateName"":""OH"",""parties"":[""Democrat""]}]"
A000160,William,Allison,Boyd,William,Allison,Boyd,,Mr.,,,1829,1908,"[{""position"":""Representative"",""congressNumber"":38,""stateName"":""IA"",""parties"":[""Republican""],""electionDate"":""1862-10-14"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":39,""stateName"":""IA"",""parties"":[""Republican""],""electionDate"":""1864-11-08"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":40,""stateName"":""IA"",""parties"":[""Republican""],""electionDate"":""1866-10-09"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":41,""stateName"":""IA"",""parties"":[""Republican""],""electionDate"":""1868-10-13"",""electionCirca"":false},{""position"":""Senator"",""congressNumber"":43,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":44,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":45,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":46,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":47,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":48,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":49,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":50,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":51,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":52,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":53,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":54,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":55,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":56,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":57,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":58,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":59,""stateName"":""IA"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":60,""stateName"":""IA"",""parties"":[""Republican""]}]"
A000161,Gordon,Allott,Llewellyn,Gordon,Allott,Llewellyn,,,,,1907,1989,"[{""position"":""Senator"",""congressNumber"":84,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":85,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":86,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":87,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":88,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":89,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":90,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":91,""stateName"":""CO"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":92,""stateName"":""CO"",""parties"":[""Republican""]}]"
A000172,Adelbert,Ames,,Adelbert,Ames,,,,,,1835,1933,"[{""position"":""Senator"",""congressNumber"":41,""stateName"":""MS"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":42,""stateName"":""MS"",""parties"":[""Republican""]},{""position"":""Senator"",""congressNumber"":43,""stateName"":""MS"",""parties"":[""Republican""]}]"
